num	glyph	GT-source	description
5855	镇	GT-6966	标准电码本，6966
5856	镑	GT-6967	标准电码本，6967
5857	镞	GT-6968	标准电码本，6968
5858	链	GT-6969	标准电码本，6969
5859	镝	GT-6970	标准电码本，6970
5860	鏖	GT-6971	标准电码本，6971
5861	铿	GT-6972	标准电码本，6972
5862	锵	GT-6973	标准电码本，6973
5863	镗	GT-6974	标准电码本，6974
5864	镜	GT-6975	标准电码本，6975
5865	镘	GT-6976	标准电码本，6976
5866	镖	GT-6977	标准电码本，6977
5867	镛	GT-6978	标准电码本，6978
5868	镂	GT-6979	标准电码本，6979
5869	铲	GT-6980	标准电码本，6980
5870	锑	GT-6982	标准电码本，6982
5871	錾	GT-6983	标准电码本，6983
5872	铙	GT-6984	标准电码本，6984
5873	铧	GT-6985	标准电码本，6985
5874	铝	GT-6986	标准电码本，6986
5875	镪	GT-6987	标准电码本，6987
5876	钟	GT-6988	标准电码本，6988
5877	镫	GT-6989	标准电码本，6989
5878	镌	GT-6990	标准电码本，6990
5879	镰	GT-6991	标准电码本，6991
5880	镯	GT-6992	标准电码本，6992
5881	铁	GT-6993	标准电码本，6993
5882	镮	GT-6994	标准电码本，6994
5883	铎	GT-6995	标准电码本，6995
5884	镍	GT-6996	标准电码本，6996
5885	铛	GT-6997	标准电码本，6997
5886	铸	GT-6999	标准电码本，6999
5887	镬	GT-7000	标准电码本，7000
5888	镔	GT-7001	标准电码本，7001
5889	鉴	GT-7003	标准电码本，7003
5890	钨	GT-7005	标准电码本，7005
5891	铄	GT-7007	标准电码本，7007
5892	镳	GT-7009	标准电码本，7009
5893	钥	GT-7011	标准电码本，7011
5894	镭	GT-7012	标准电码本，7012
5895	镶	GT-7013	标准电码本，7013
5896	镊	GT-7015	标准电码本，7015
5897	𰾠	GT-7016	标准电码本，7016
5898	锣	GT-7017	标准电码本，7017
5899	銮	GT-7019	标准电码本，7019
5900	凿	GT-7020	标准电码本，7020
5901	锰	GT-7021	标准电码本，7021
5902	长	GT-7022	标准电码本，7022
5903	蜱	GT-7023	标准电码本，7023
5904	门	GT-7024	标准电码本，7024
5905	闩	GT-7025	标准电码本，7025
5906	闪	GT-7026	标准电码本，7026
5907	闫	GT-7027	标准电码本，7027
5908	闭	GT-7028	标准电码本，7028
5909	闬	GT-7029	标准电码本，7029
5910	开	GT-7030	标准电码本，7030
5911	闳	GT-7031	标准电码本，7031
5912	闰	GT-7032	标准电码本，7032
5913	闲	GT-7033	标准电码本，7033
5914	间	GT-7035	标准电码本，7035
5915	闵	GT-7036	标准电码本，7036
5916	闸	GT-7037	标准电码本，7037
5917	阂	GT-7039	标准电码本，7039
5918	阁	GT-7041	标准电码本，7041
5919	阀	GT-7042	标准电码本，7042
5920	闺	GT-7043	标准电码本，7043
5921	闽	GT-7044	标准电码本，7044
5922	阃	GT-7045	标准电码本，7045
5923	阆	GT-7046	标准电码本，7046
5924	闾	GT-7047	标准电码本，7047
5925	阅	GT-7048	标准电码本，7048
5926	阊	GT-7049	标准电码本，7049
5927	阉	GT-7050	标准电码本，7050
5928	阎	GT-7051	标准电码本，7051
5929	阏	GT-7052	标准电码本，7052
5930	阍	GT-7053	标准电码本，7053
5931	阈	GT-7054	标准电码本，7054
5932	阒	GT-7055	标准电码本，7055
5933	闱	GT-7057	标准电码本，7057
5934	阔	GT-7059	标准电码本，7059
5935	阕	GT-7060	标准电码本，7060
5936	阑	GT-7061	标准电码本，7061
5937	阇	GT-7062	标准电码本，7062
5938	阗	GT-7063	标准电码本，7063
5939	阌	GT-7064	标准电码本，7064
5940	闿	GT-7065	标准电码本，7065
5941	阖	GT-7066	标准电码本，7066
5942	阙	GT-7067	标准电码本，7067
5943	闯	GT-7068	标准电码本，7068
5944	关	GT-7070	标准电码本，7070
5945	阓	GT-7072	标准电码本，7072
5946	阐	GT-7073	标准电码本，7073
5947	阚	GT-7074	标准电码本，7074
5948	阛	GT-7076	标准电码本，7076
5949	闼	GT-7077	标准电码本，7077
5950	阜	GT-7079	标准电码本，7079
5951	阝	GT-7080	标准电码本，7080
5952	阡	GT-7082	标准电码本，7082
5953	阮	GT-7086	标准电码本，7086
5954	阱	GT-7088	标准电码本，7088
5955	防	GT-7089	标准电码本，7089
5956	阪	GT-7090	标准电码本，7090
5957	阻	GT-7091	标准电码本，7091
5958	阼	GT-7092	标准电码本，7092
5959	阿	GT-7093	标准电码本，7093
5960	陀	GT-7094	标准电码本，7094
5961	陂	GT-7095	标准电码本，7095
5962	附	GT-7096	标准电码本，7096
5963	陋	GT-7097	标准电码本，7097
5964	限	GT-7098	标准电码本，7098
5965	陌	GT-7099	标准电码本，7099
5966	降	GT-7100	标准电码本，7100
5967	陔	GT-7101	标准电码本，7101
5968	陉	GT-7102	标准电码本，7102
5969	陛	GT-7103	标准电码本，7103
5970	陕	GT-7104	标准电码本，7104
5971	陞	GT-7105	标准电码本，7105
5972	陟	GT-7106	标准电码本，7106
5973	陡	GT-7107	标准电码本，7107
5974	院	GT-7108	标准电码本，7108
5975	阵	GT-7109	标准电码本，7109
5976	除	GT-7110	标准电码本，7110
5977	陪	GT-7111	标准电码本，7111
5978	陬	GT-7112	标准电码本，7112
5979	阴	GT-7113	标准电码本，7113
5980	陲	GT-7114	标准电码本，7114
5981	陈	GT-7115	标准电码本，7115
5982	陴	GT-7116	标准电码本，7116
5983	陵	GT-7117	标准电码本，7117
5984	陶	GT-7118	标准电码本，7118
5985	陷	GT-7119	标准电码本，7119
5986	陆	GT-7120	标准电码本，7120
5987	阳	GT-7122	标准电码本，7122
5988	隍	GT-7124	标准电码本，7124
5989	隅	GT-7126	标准电码本，7126
5990	隆	GT-7127	标准电码本，7127
5991	隈	GT-7128	标准电码本，7128
5992	陧	GT-7129	标准电码本，7129
5993	队	GT-7130	标准电码本，7130
5994	隋	GT-7131	标准电码本，7131
5995	阶	GT-7132	标准电码本，7132
5996	隔	GT-7133	标准电码本，7133
5997	陨	GT-7134	标准电码本，7134
5998	隗	GT-7136	标准电码本，7136
5999	隘	GT-7137	标准电码本，7137
6000	隙	GT-7138	标准电码本，7138
6001	际	GT-7139	标准电码本，7139
6002	障	GT-7140	标准电码本，7140
6003	隧	GT-7143	标准电码本，7143
6004	险	GT-7145	标准电码本，7145
6005	隰	GT-7147	标准电码本，7147
6006	隐	GT-7148	标准电码本，7148
6007	隳	GT-7149	标准电码本，7149
6008	陇	GT-7150	标准电码本，7150
6009	随	GT-7151	标准电码本，7151
6010	隶	GT-7152	标准电码本，7152
6011	苤	GT-7154	标准电码本，7154
6012	隹	GT-7155	标准电码本，7155
6013	隻	GT-7156	标准电码本，7156
6014	隼	GT-7157	标准电码本，7157
6015	雀	GT-7158	标准电码本，7158
6016	雁	GT-7159	标准电码本，7159
6017	雄	GT-7160	标准电码本，7160
6018	雅	GT-7161	标准电码本，7161
6019	集	GT-7162	标准电码本，7162
6020	雇	GT-7163	标准电码本，7163
6021	雉	GT-7164	标准电码本，7164
6022	隽	GT-7165	标准电码本，7165
6023	雌	GT-7166	标准电码本，7166
6024	雍	GT-7167	标准电码本，7167
6025	雎	GT-7168	标准电码本，7168
6026	雒	GT-7170	标准电码本，7170
6027	雕	GT-7171	标准电码本，7171
6028	巂	GT-7172	标准电码本，7172
6029	虽	GT-7173	标准电码本，7173
6030	雘	GT-7174	标准电码本，7174
6031	双	GT-7175	标准电码本，7175
6032	雏	GT-7176	标准电码本，7176
6033	杂	GT-7177	标准电码本，7177
6034	难	GT-7181	标准电码本，7181
6035	钷	GT-7182	标准电码本，7182
6036	雨	GT-7183	标准电码本，7183
6037	雩	GT-7184	标准电码本，7184
6038	雪	GT-7185	标准电码本，7185
6039	雯	GT-7186	标准电码本，7186
6040	零	GT-7190	标准电码本，7190
6041	雷	GT-7191	标准电码本，7191
6042	雹	GT-7192	标准电码本，7192
6043	电	GT-7193	标准电码本，7193
6044	需	GT-7194	标准电码本，7194
6045	霂	GT-7195	标准电码本，7195
6046	霄	GT-7197	标准电码本，7197
6047	霈	GT-7198	标准电码本，7198
6048	霉	GT-7199	标准电码本，7199
6049	霆	GT-7200	标准电码本，7200
6050	震	GT-7201	标准电码本，7201
6051	霍	GT-7202	标准电码本，7202
6052	霎	GT-7203	标准电码本，7203
6053	霏	GT-7204	标准电码本，7204
6054	霓	GT-7206	标准电码本，7206
6055	霖	GT-7207	标准电码本，7207
6056	霜	GT-7208	标准电码本，7208
6057	霞	GT-7209	标准电码本，7209
6058	雾	GT-7212	标准电码本，7212
6059	霰	GT-7213	标准电码本，7213
6060	霪	GT-7214	标准电码本，7214
6061	露	GT-7216	标准电码本，7216
6062	霸	GT-7218	标准电码本，7218
6063	霹	GT-7219	标准电码本，7219
6064	霁	GT-7221	标准电码本，7221
6065	霾	GT-7223	标准电码本，7223
6066	霭	GT-7224	标准电码本，7224
6067	雳	GT-7225	标准电码本，7225
6068	叇	GT-7226	标准电码本，7226
6069	灵	GT-7227	标准电码本，7227
6070	叆	GT-7228	标准电码本，7228
6071	青	GT-7230	标准电码本，7230
6072	靖	GT-7231	标准电码本，7231
6073	靓	GT-7232	标准电码本，7232
6074	靛	GT-7233	标准电码本，7233
6075	静	GT-7234	标准电码本，7234
6076	镤	GT-7235	标准电码本，7235
6077	非	GT-7236	标准电码本，7236
6078	靠	GT-7237	标准电码本，7237
6079	靡	GT-7238	标准电码本，7238
6080	氆	GT-7239	标准电码本，7239
6081	面	GT-7240	标准电码本，7240
6082	靥	GT-7243	标准电码本，7243
6083	钎	GT-7244	标准电码本，7244
6084	革	GT-7245	标准电码本，7245
6085	靳	GT-7246	标准电码本，7246
6086	靴	GT-7247	标准电码本，7247
6087	鞅	GT-7248	标准电码本，7248
6088	靶	GT-7249	标准电码本，7249
6089	靰	GT-7250	标准电码本，7250
6090	鞍	GT-7254	标准电码本，7254
6091	巩	GT-7255	标准电码本，7255
6092	鞋	GT-7256	标准电码本，7256
6093	鞘	GT-7258	标准电码本，7258
6094	鞡	GT-7260	标准电码本，7260
6095	鞠	GT-7263	标准电码本，7263
6096	鞫	GT-7265	标准电码本，7265
6097	鞭	GT-7267	标准电码本，7267
6098	鞮	GT-7268	标准电码本，7268
6099	鞲	GT-7271	标准电码本，7271
6100	鞴	GT-7272	标准电码本，7272
6101	鞑	GT-7275	标准电码本，7275
6102	鞯	GT-7277	标准电码本，7277
6103	羟	GT-7278	标准电码本，7278
6104	韦	GT-7279	标准电码本，7279
6105	韨	GT-7280	标准电码本，7280
6106	韩	GT-7281	标准电码本，7281
6107	韧	GT-7282	标准电码本，7282
6108	韪	GT-7289	标准电码本，7289
6109	韬	GT-7290	标准电码本，7290
6110	韫	GT-7291	标准电码本，7291
6111	炝	GT-7294	标准电码本，7294
6112	韭	GT-7295	标准电码本，7295
6113	音	GT-7299	标准电码本，7299
6114	韶	GT-7300	标准电码本，7300
6115	韵	GT-7301	标准电码本，7301
6116	苘	GT-7305	标准电码本，7305
6117	页	GT-7306	标准电码本，7306
6118	顶	GT-7307	标准电码本，7307
6119	顷	GT-7308	标准电码本，7308
6120	项	GT-7309	标准电码本，7309
6121	顸	GT-7310	标准电码本，7310
6122	顺	GT-7311	标准电码本，7311
6123	须	GT-7312	标准电码本，7312
6124	颂	GT-7313	标准电码本，7313
6125	颃	GT-7314	标准电码本，7314
6126	预	GT-7315	标准电码本，7315
6127	顽	GT-7316	标准电码本，7316
6128	颁	GT-7317	标准电码本，7317
6129	颔	GT-7318	标准电码本，7318
6130	顿	GT-7319	标准电码本，7319
6131	顼	GT-7320	标准电码本，7320
6132	颀	GT-7322	标准电码本，7322
6133	颇	GT-7324	标准电码本，7324
6134	领	GT-7325	标准电码本，7325
6135	颉	GT-7327	标准电码本，7327
6136	颐	GT-7328	标准电码本，7328
6137	颚	GT-7329	标准电码本，7329
6138	颏	GT-7331	标准电码本，7331
6139	头	GT-7333	标准电码本，7333
6140	颒	GT-7334	标准电码本，7334
6141	颊	GT-7335	标准电码本，7335
6142	颕	GT-7336	标准电码本，7336
6143	颈	GT-7338	标准电码本，7338
6144	颓	GT-7339	标准电码本，7339
6145	频	GT-7340	标准电码本，7340
6146	颗	GT-7341	标准电码本，7341
6147	题	GT-7344	标准电码本，7344
6148	额	GT-7345	标准电码本，7345
6149	颜	GT-7346	标准电码本，7346
6150	颛	GT-7348	标准电码本，7348
6151	颡	GT-7350	标准电码本，7350
6152	颠	GT-7351	标准电码本，7351
6153	类	GT-7352	标准电码本，7352
6154	颟	GT-7354	标准电码本，7354
6155	颢	GT-7355	标准电码本，7355
6156	顾	GT-7357	标准电码本，7357
6157	颤	GT-7358	标准电码本，7358
6158	显	GT-7359	标准电码本，7359
6159	颦	GT-7360	标准电码本，7360
6160	颅	GT-7361	标准电码本，7361
6161	颧	GT-7362	标准电码本，7362
6162	粬	GT-7363	标准电码本，7363
6163	风	GT-7364	标准电码本，7364
6164	飒	GT-7366	标准电码本，7366
6165	飓	GT-7367	标准电码本，7367
6166	飔	GT-7368	标准电码本，7368
6167	飏	GT-7370	标准电码本，7370
6168	飖	GT-7371	标准电码本，7371
6169	飕	GT-7372	标准电码本，7372
6170	飘	GT-7373	标准电码本，7373
6171	飙	GT-7374	标准电码本，7374
6172	飗	GT-7375	标准电码本，7375
6173	飞	GT-7378	标准电码本，7378
6174	醛	GT-7379	标准电码本，7379
6175	食	GT-7380	标准电码本，7380
6176	饥	GT-7382	标准电码本，7382
6177	饤	GT-7383	标准电码本，7383
6178	飧	GT-7385	标准电码本，7385
6179	饨	GT-7386	标准电码本，7386
6180	饪	GT-7387	标准电码本，7387
6181	饫	GT-7388	标准电码本，7388
6182	饬	GT-7389	标准电码本，7389
6183	饮	GT-7390	标准电码本，7390
6184	饭	GT-7391	标准电码本，7391
6185	饴	GT-7392	标准电码本，7392
6186	饲	GT-7393	标准电码本，7393
6187	饱	GT-7394	标准电码本，7394
6188	饰	GT-7395	标准电码本，7395
6189	饸	GT-7396	标准电码本，7396
6190	饹	GT-7397	标准电码本，7397
6191	饺	GT-7398	标准电码本，7398
6192	饼	GT-7399	标准电码本，7399
6193	饻	GT-7400	标准电码本，7400
6194	饷	GT-7401	标准电码本，7401
6195	养	GT-7402	标准电码本，7402
6196	饵	GT-7403	标准电码本，7403
6197	餐	GT-7404	标准电码本，7404
6198	饾	GT-7405	标准电码本，7405
6199	馁	GT-7407	标准电码本，7407
6200	饿	GT-7408	标准电码本，7408
6201	馂	GT-7410	标准电码本，7410
6202	馀	GT-7411	标准电码本，7411
6203	馄	GT-7412	标准电码本，7412
6204	馅	GT-7414	标准电码本，7414
6205	饯	GT-7415	标准电码本，7415
6206	饽	GT-7416	标准电码本，7416
6207	馍	GT-7418	标准电码本，7418
6208	馆	GT-7419	标准电码本，7419
6209	餮	GT-7421	标准电码本，7421
6210	饧	GT-7424	标准电码本，7424
6211	饩	GT-7426	标准电码本，7426
6212	馒	GT-7429	标准电码本，7429
6213	馑	GT-7431	标准电码本，7431
6214	馈	GT-7432	标准电码本，7432
6215	馔	GT-7433	标准电码本，7433
6216	饶	GT-7437	标准电码本，7437
6217	饔	GT-7438	标准电码本，7438
6218	饕	GT-7439	标准电码本，7439
6219	飨	GT-7440	标准电码本，7440
6220	餍	GT-7441	标准电码本，7441
6221	馋	GT-7443	标准电码本，7443
6222	首	GT-7445	标准电码本，7445
6223	馘	GT-7446	标准电码本，7446
6224	馗	GT-7447	标准电码本，7447
6225	炔	GT-7448	标准电码本，7448
6226	香	GT-7449	标准电码本，7449
6227	馥	GT-7450	标准电码本，7450
6228	馨	GT-7451	标准电码本，7451
6229	蛲	GT-7455	标准电码本，7455
6230	马	GT-7456	标准电码本，7456
6231	驭	GT-7457	标准电码本，7457
6232	冯	GT-7458	标准电码本，7458
6233	驰	GT-7459	标准电码本，7459
