num	glyph	GE-source	description
202	別	GE-322E	GB/T 16500—1998，18—14
203	刦	GE-322F	GB/T 16500—1998，18—15
204	刧	GE-3230	GB/T 16500—1998，18—16
205	刪	GE-3231	GB/T 16500—1998，18—17
206	刯	GE-3232	GB/T 16500—1998，18—18
207	刴	GE-3233	GB/T 16500—1998，18—19
208	刼	GE-3234	GB/T 16500—1998，18—20
209	刾	GE-3235	GB/T 16500—1998，18—21
210	剆	GE-3236	GB/T 16500—1998，18—22
211	剉	GE-3237	GB/T 16500—1998，18—23
212	剎	GE-3238	GB/T 16500—1998，18—24
213	剏	GE-3239	GB/T 16500—1998，18—25
214	剙	GE-323A	GB/T 16500—1998，18—26
215	剝	GE-323B	GB/T 16500—1998，18—27
216	剣	GE-323C	GB/T 16500—1998，18—28
217	剤	GE-323D	GB/T 16500—1998，18—29
218	剦	GE-323E	GB/T 16500—1998，18—30
219	剰	GE-323F	GB/T 16500—1998，18—31
220	剱	GE-3240	GB/T 16500—1998，18—32
221	剳	GE-3241	GB/T 16500—1998，18—33
222	剷	GE-3242	GB/T 16500—1998，18—34
223	剹	GE-3243	GB/T 16500—1998，18—35
224	劄	GE-3244	GB/T 16500—1998，18—36
225	劅	GE-3245	GB/T 16500—1998，18—37
226	劆	GE-3246	GB/T 16500—1998，18—38
227	劎	GE-3247	GB/T 16500—1998，18—39
228	劒	GE-3248	GB/T 16500—1998，18—40
229	劔	GE-3249	GB/T 16500—1998，18—41
230	劥	GE-324A	GB/T 16500—1998，18—42
231	劧	GE-324B	GB/T 16500—1998，18—43
232	劯	GE-324C	GB/T 16500—1998，18—44
233	劰	GE-324D	GB/T 16500—1998，18—45
234	労	GE-324E	GB/T 16500—1998，18—46
235	劵	GE-324F	GB/T 16500—1998，18—47
236	劶	GE-3250	GB/T 16500—1998，18—48
237	劷	GE-3251	GB/T 16500—1998，18—49
238	劸	GE-3252	GB/T 16500—1998，18—50
239	劽	GE-3253	GB/T 16500—1998，18—51
240	勂	GE-3254	GB/T 16500—1998，18—52
241	勄	GE-3255	GB/T 16500—1998，18—53
242	勅	GE-3256	GB/T 16500—1998，18—54
243	勆	GE-3257	GB/T 16500—1998，18—55
244	勈	GE-3258	GB/T 16500—1998，18—56
245	勌	GE-3259	GB/T 16500—1998，18—57
246	勏	GE-325A	GB/T 16500—1998，18—58
247	勑	GE-325B	GB/T 16500—1998，18—59
248	勠	GE-325C	GB/T 16500—1998，18—60
249	勣	GE-325D	GB/T 16500—1998，18—61
250	勦	GE-325E	GB/T 16500—1998，18—62
251	勧	GE-325F	GB/T 16500—1998，18—63
252	勪	GE-3260	GB/T 16500—1998，18—64
253	勲	GE-3261	GB/T 16500—1998，18—65
254	勻	GE-3262	GB/T 16500—1998，18—66
255	匁	GE-3263	GB/T 16500—1998，18—67
256	匂	GE-3264	GB/T 16500—1998，18—68
257	匃	GE-3265	GB/T 16500—1998，18—69
258	匄	GE-3266	GB/T 16500—1998，18—70
259	匇	GE-3267	GB/T 16500—1998，18—71
260	匎	GE-3268	GB/T 16500—1998，18—72
261	匓	GE-3269	GB/T 16500—1998，18—73
262	匛	GE-326A	GB/T 16500—1998，18—74
263	匞	GE-326B	GB/T 16500—1998，18—75
264	匟	GE-326C	GB/T 16500—1998，18—76
265	匢	GE-326D	GB/T 16500—1998，18—77
266	匤	GE-326E	GB/T 16500—1998，18—78
267	匨	GE-326F	GB/T 16500—1998，18—79
268	匩	GE-3270	GB/T 16500—1998，18—80
269	匲	GE-3271	GB/T 16500—1998，18—81
270	匳	GE-3272	GB/T 16500—1998，18—82
271	匶	GE-3273	GB/T 16500—1998，18—83
272	匷	GE-3274	GB/T 16500—1998，18—84
273	卆	GE-3275	GB/T 16500—1998，18—85
274	卋	GE-3276	GB/T 16500—1998，18—86
275	単	GE-3277	GB/T 16500—1998，18—87
276	卛	GE-3278	GB/T 16500—1998，18—88
277	卥	GE-3279	GB/T 16500—1998，18—89
278	卹	GE-327A	GB/T 16500—1998，18—90
279	卻	GE-327B	GB/T 16500—1998，18—91
280	卽	GE-327C	GB/T 16500—1998，18—92
281	卾	GE-327D	GB/T 16500—1998，18—93
282	厀	GE-327E	GB/T 16500—1998，18—94
283	厈	GE-3321	GB/T 16500—1998，19—01
284	厒	GE-3322	GB/T 16500—1998，19—02
285	厛	GE-3323	GB/T 16500—1998，19—03
286	厡	GE-3324	GB/T 16500—1998，19—04
287	厤	GE-3325	GB/T 16500—1998，19—05
288	厯	GE-3326	GB/T 16500—1998，19—06
289	厰	GE-3327	GB/T 16500—1998，19—07
290	厳	GE-3328	GB/T 16500—1998，19—08
291	厸	GE-3329	GB/T 16500—1998，19—09
292	厺	GE-332A	GB/T 16500—1998，19—10
293	叀	GE-332B	GB/T 16500—1998，19—11
294	叄	GE-332C	GB/T 16500—1998，19—12
295	叅	GE-332D	GB/T 16500—1998，19—13
296	収	GE-332E	GB/T 16500—1998，19—14
297	叏	GE-332F	GB/T 16500—1998，19—15
298	叐	GE-3330	GB/T 16500—1998，19—16
299	叓	GE-3331	GB/T 16500—1998，19—17
300	叚	GE-3332	GB/T 16500—1998，19—18
301	叝	GE-3333	GB/T 16500—1998，19—19
302	叡	GE-3334	GB/T 16500—1998，19—20
303	叧	GE-3335	GB/T 16500—1998，19—21
304	叺	GE-3336	GB/T 16500—1998，19—22
305	吀	GE-3337	GB/T 16500—1998，19—23
306	吚	GE-3338	GB/T 16500—1998，19—24
307	吳	GE-3339	GB/T 16500—1998，19—25
308	吶	GE-333A	GB/T 16500—1998，19—26
309	吿	GE-333B	GB/T 16500—1998，19—27
310	呂	GE-333C	GB/T 16500—1998，19—28
311	呄	GE-333D	GB/T 16500—1998，19—29
312	呇	GE-333E	GB/T 16500—1998，19—30
313	呉	GE-333F	GB/T 16500—1998，19—31
314	呌	GE-3340	GB/T 16500—1998，19—32
315	呍	GE-3341	GB/T 16500—1998，19—33
316	呏	GE-3342	GB/T 16500—1998，19—34
317	呑	GE-3343	GB/T 16500—1998，19—35
318	呚	GE-3344	GB/T 16500—1998，19—36
319	呟	GE-3345	GB/T 16500—1998，19—37
320	呪	GE-3346	GB/T 16500—1998，19—38
321	呮	GE-3347	GB/T 16500—1998，19—39
322	咃	GE-3348	GB/T 16500—1998，19—40
323	咊	GE-3349	GB/T 16500—1998，19—41
324	咓	GE-334A	GB/T 16500—1998，19—42
325	咜	GE-334B	GB/T 16500—1998，19—43
326	咞	GE-334C	GB/T 16500—1998，19—44
327	咲	GE-334D	GB/T 16500—1998，19—45
328	哖	GE-334E	GB/T 16500—1998，19—46
329	哘	GE-334F	GB/T 16500—1998，19—47
330	唀	GE-3350	GB/T 16500—1998，19—48
331	唍	GE-3351	GB/T 16500—1998，19—49
332	唒	GE-3352	GB/T 16500—1998，19—50
333	唕	GE-3353	GB/T 16500—1998，19—51
334	唖	GE-3354	GB/T 16500—1998，19—52
335	唘	GE-3355	GB/T 16500—1998，19—53
336	唜	GE-3356	GB/T 16500—1998，19—54
337	唨	GE-3357	GB/T 16500—1998，19—55
338	唫	GE-3358	GB/T 16500—1998，19—56
339	唸	GE-3359	GB/T 16500—1998，19—57
340	啎	GE-335A	GB/T 16500—1998，19—58
341	啑	GE-335B	GB/T 16500—1998，19—59
342	啟	GE-335C	GB/T 16500—1998，19—60
343	啠	GE-335D	GB/T 16500—1998，19—61
344	啢	GE-335E	GB/T 16500—1998，19—62
345	啣	GE-335F	GB/T 16500—1998，19—63
346	啳	GE-3360	GB/T 16500—1998，19—64
347	啿	GE-3361	GB/T 16500—1998，19—65
348	喍	GE-3362	GB/T 16500—1998，19—66
349	喎	GE-3363	GB/T 16500—1998，19—67
350	喒	GE-3364	GB/T 16500—1998，19—68
351	喞	GE-3365	GB/T 16500—1998，19—69
352	喩	GE-3366	GB/T 16500—1998，19—70
353	喫	GE-3367	GB/T 16500—1998，19—71
354	喰	GE-3368	GB/T 16500—1998，19—72
355	営	GE-3369	GB/T 16500—1998，19—73
356	喺	GE-336A	GB/T 16500—1998，19—74
357	嗁	GE-336B	GB/T 16500—1998，19—75
