num	glyph	pseudo G7-source	description
131	粪	G7-10066.1	简化字总表，第1表第66个字头第1个字样
132	糞	G7-10066.2	简化字总表，第1表第66个字头第2个字样
133	凤	G7-10067.1	简化字总表，第1表第67个字头第1个字样
134	鳳	G7-10067.2	简化字总表，第1表第67个字头第2个字样
135	肤	G7-10068.1	简化字总表，第1表第68个字头第1个字样
136	膚	G7-10068.2	简化字总表，第1表第68个字头第2个字样
137	妇	G7-10069.1	简化字总表，第1表第69个字头第1个字样
138	婦	G7-10069.2	简化字总表，第1表第69个字头第2个字样
139	复	G7-10070.1	简化字总表，第1表第70个字头第1个字样
140	復	G7-10070.2	简化字总表，第1表第70个字头第2个字样
141	複	G7-10070.3	简化字总表，第1表第70个字头第3个字样
142	盖	G7-10071.1	简化字总表，第1表第71个字头第1个字样
143	蓋	G7-10071.2	简化字总表，第1表第71个字头第2个字样
144	干	G7-10072.1	简化字总表，第1表第72个字头第1个字样
145	乾	G7-10072.2	简化字总表，第1表第72个字头第2个字样
146	幹	G7-10072.3	简化字总表，第1表第72个字头第3个字样
147	赶	G7-10073.1	简化字总表，第1表第73个字头第1个字样
148	趕	G7-10073.2	简化字总表，第1表第73个字头第2个字样
149	个	G7-10074.1	简化字总表，第1表第74个字头第1个字样
150	個	G7-10074.2	简化字总表，第1表第74个字头第2个字样
151	巩	G7-10075.1	简化字总表，第1表第75个字头第1个字样
152	鞏	G7-10075.2	简化字总表，第1表第75个字头第2个字样
153	沟	G7-10076.1	简化字总表，第1表第76个字头第1个字样
154	溝	G7-10076.2	简化字总表，第1表第76个字头第2个字样
155	构	G7-10077.1	简化字总表，第1表第77个字头第1个字样
156	構	G7-10077.2	简化字总表，第1表第77个字头第2个字样
157	购	G7-10078.1	简化字总表，第1表第78个字头第1个字样
158	購	G7-10078.2	简化字总表，第1表第78个字头第2个字样
159	谷	G7-10079.1	简化字总表，第1表第79个字头第1个字样
160	穀	G7-10079.2	简化字总表，第1表第79个字头第2个字样
161	顾	G7-10080.1	简化字总表，第1表第80个字头第1个字样
162	顧	G7-10080.2	简化字总表，第1表第80个字头第2个字样
163	刮	G7-10081.1	简化字总表，第1表第81个字头第1个字样
164	颳	G7-10081.2	简化字总表，第1表第81个字头第2个字样
165	关	G7-10082.1	简化字总表，第1表第82个字头第1个字样
166	關	G7-10082.2	简化字总表，第1表第82个字头第2个字样
167	观	G7-10083.1	简化字总表，第1表第83个字头第1个字样
168	觀	G7-10083.2	简化字总表，第1表第83个字头第2个字样
169	柜	G7-10084.1	简化字总表，第1表第84个字头第1个字样
170	櫃	G7-10084.2	简化字总表，第1表第84个字头第2个字样
171	汉	G7-10085.1	简化字总表，第1表第85个字头第1个字样
172	漢	G7-10085.2	简化字总表，第1表第85个字头第2个字样
173	号	G7-10086.1	简化字总表，第1表第86个字头第1个字样
174	號	G7-10086.2	简化字总表，第1表第86个字头第2个字样
175	合	G7-10087.1	简化字总表，第1表第87个字头第1个字样
176	閤	G7-10087.2	简化字总表，第1表第87个字头第2个字样
177	轰	G7-10088.1	简化字总表，第1表第88个字头第1个字样
178	轟	G7-10088.2	简化字总表，第1表第88个字头第2个字样
179	后	G7-10089.1	简化字总表，第1表第89个字头第1个字样
180	後	G7-10089.2	简化字总表，第1表第89个字头第2个字样
181	胡	G7-10090.1	简化字总表，第1表第90个字头第1个字样
182	鬍	G7-10090.2	简化字总表，第1表第90个字头第2个字样
183	壶	G7-10091.1	简化字总表，第1表第91个字头第1个字样
184	壺	G7-10091.2	简化字总表，第1表第91个字头第2个字样
185	沪	G7-10092.1	简化字总表，第1表第92个字头第1个字样
186	滬	G7-10092.2	简化字总表，第1表第92个字头第2个字样
187	护	G7-10093.1	简化字总表，第1表第93个字头第1个字样
188	護	G7-10093.2	简化字总表，第1表第93个字头第2个字样
189	划	G7-10094.1	简化字总表，第1表第94个字头第1个字样
190	劃	G7-10094.2	简化字总表，第1表第94个字头第2个字样
