num	glyph	G8-source	description
209	垞	G8-7A4B	GB/T 8565.2—1988，90—43
210	垾	G8-7A4C	GB/T 8565.2—1988，90—44
211	埌	G8-7A4D	GB/T 8565.2—1988，90—45
212	堎	G8-7A4E	GB/T 8565.2—1988，90—46
213	堌	G8-7A4F	GB/T 8565.2—1988，90—47
214	埵	G8-7A50	GB/T 8565.2—1988，90—48
215	堉	G8-7A51	GB/T 8565.2—1988，90—49
216	堼	G8-7A52	GB/T 8565.2—1988，90—50
217	塃	G8-7A53	GB/T 8565.2—1988，90—51
218	塅	G8-7A54	GB/T 8565.2—1988，90—52
219	塆	G8-7A55	GB/T 8565.2—1988，90—53
220	堽	G8-7A56	GB/T 8565.2—1988，90—54
221	塓	G8-7A57	GB/T 8565.2—1988，90—55
222	墈	G8-7A58	GB/T 8565.2—1988，90—56
223	墄	G8-7A59	GB/T 8565.2—1988，90—57
224	壸	G8-7A5A	GB/T 8565.2—1988，90—58
225	嚭	G8-7A5B	GB/T 8565.2—1988，90—59
226	奀	G8-7A5C	GB/T 8565.2—1988，90—60
227	奓	G8-7A5D	GB/T 8565.2—1988，90—61
228	奭	G8-7A5E	GB/T 8565.2—1988，90—62
229	尪	G8-7A5F	GB/T 8565.2—1988，90—63
230	咥	G8-7A60	GB/T 8565.2—1988，90—64
231	唝	G8-7A61	GB/T 8565.2—1988，90—65
232	唶	G8-7A62	GB/T 8565.2—1988，90—66
233	啯	G8-7A63	GB/T 8565.2—1988，90—67
234	啍	G8-7A64	GB/T 8565.2—1988，90—68
235	嚚	G8-7A65	GB/T 8565.2—1988，90—69
236	嚜	G8-7A66	GB/T 8565.2—1988，90—70
237	囷	G8-7A67	GB/T 8565.2—1988，90—71
238	圐	G8-7A68	GB/T 8565.2—1988，90—72
239	圙	G8-7A69	GB/T 8565.2—1988，90—73
240	帗	G8-7A6A	GB/T 8565.2—1988，90—74
241	帡	G8-7A6B	GB/T 8565.2—1988，90—75
242	帨	G8-7A6C	GB/T 8565.2—1988，90—76
243	幪	G8-7A6D	GB/T 8565.2—1988，90—77
244	屴	G8-7A6E	GB/T 8565.2—1988，90—78
245	屼	G8-7A6F	GB/T 8565.2—1988，90—79
246	岨	G8-7A70	GB/T 8565.2—1988，90—80
247	岞	G8-7A71	GB/T 8565.2—1988，90—81
248	峃	G8-7A72	GB/T 8565.2—1988，90—82
249	峓	G8-7A73	GB/T 8565.2—1988，90—83
250	峣	G8-7A74	GB/T 8565.2—1988，90—84
251	峧	G8-7A75	GB/T 8565.2—1988，90—85
252	峿	G8-7A76	GB/T 8565.2—1988，90—86
253	崄	G8-7A77	GB/T 8565.2—1988，90—87
254	崀	G8-7A78	GB/T 8565.2—1988，90—88
255	崚	G8-7A79	GB/T 8565.2—1988，90—89
256	崌	G8-7A7A	GB/T 8565.2—1988，90—90
257	嵎	G8-7A7B	GB/T 8565.2—1988，90—91
258	嵚	G8-7A7C	GB/T 8565.2—1988，90—92
259	嶅	G8-7A7D	GB/T 8565.2—1988，90—93
260	嶓	G8-7A7E	GB/T 8565.2—1988，90—94
261	嶒	G8-7B21	GB/T 8565.2—1988，91—01
262	巂	G8-7B22	GB/T 8565.2—1988，91—02
263	巉	G8-7B23	GB/T 8565.2—1988，91—03
264	衒	G8-7B24	GB/T 8565.2—1988，91—04
265	徯	G8-7B25	GB/T 8565.2—1988，91—05
266	夆	G8-7B26	GB/T 8565.2—1988，91—06
267	斨	G8-7B27	GB/T 8565.2—1988，91—07
268	牁	G8-7B28	GB/T 8565.2—1988，91—08
269	牂	G8-7B29	GB/T 8565.2—1988，91—09
270	庼	G8-7B2A	GB/T 8565.2—1988，91—10
271	廋	G8-7B2B	GB/T 8565.2—1988，91—11
272	闬	G8-7B2C	GB/T 8565.2—1988，91—12
273	闿	G8-7B2D	GB/T 8565.2—1988，91—13
274	訚	G8-7B2E	GB/T 8565.2—1988，91—14
275	阇	G8-7B2F	GB/T 8565.2—1988，91—15
276	阓	G8-7B30	GB/T 8565.2—1988，91—16
277	阛	G8-7B31	GB/T 8565.2—1988，91—17
278	宬	G8-7B32	GB/T 8565.2—1988，91—18
279	宧	G8-7B33	GB/T 8565.2—1988，91—19
280	屝	G8-7B34	GB/T 8565.2—1988，91—20
281	弢	G8-7B35	GB/T 8565.2—1988，91—21
282	姮	G8-7B36	GB/T 8565.2—1988，91—22
283	婼	G8-7B37	GB/T 8565.2—1988，91—23
284	媖	G8-7B38	GB/T 8565.2—1988，91—24
285	婳	G8-7B39	GB/T 8565.2—1988，91—25
286	媞	G8-7B3A	GB/T 8565.2—1988，91—26
287	媭	G8-7B3B	GB/T 8565.2—1988，91—27
288	嫚	G8-7B3C	GB/T 8565.2—1988，91—28
289	嫪	G8-7B3D	GB/T 8565.2—1988，91—29
290	嬛	G8-7B3E	GB/T 8565.2—1988，91—30
291	孖	G8-7B3F	GB/T 8565.2—1988，91—31
292	驲	G8-7B40	GB/T 8565.2—1988，91—32
293	骃	G8-7B41	GB/T 8565.2—1988，91—33
294	骉	G8-7B42	GB/T 8565.2—1988，91—34
295	骍	G8-7B43	GB/T 8565.2—1988，91—35
296	骎	G8-7B44	GB/T 8565.2—1988，91—36
297	骕	G8-7B45	GB/T 8565.2—1988，91—37
298	骦	G8-7B46	GB/T 8565.2—1988，91—38
299	玕	G8-7B47	GB/T 8565.2—1988，91—39
300	玙	G8-7B48	GB/T 8565.2—1988，91—40
301	玠	G8-7B49	GB/T 8565.2—1988，91—41
302	玱	G8-7B4A	GB/T 8565.2—1988，91—42
303	玥	G8-7B4B	GB/T 8565.2—1988，91—43
304	玦	G8-7B4C	GB/T 8565.2—1988，91—44
305	珖	G8-7B4D	GB/T 8565.2—1988，91—45
306	珰	G8-7B4E	GB/T 8565.2—1988，91—46
307	珽	G8-7B4F	GB/T 8565.2—1988，91—47
308	珣	G8-7B50	GB/T 8565.2—1988，91—48
309	琤	G8-7B51	GB/T 8565.2—1988，91—49
310	琎	G8-7B52	GB/T 8565.2—1988，91—50
311	琇	G8-7B53	GB/T 8565.2—1988，91—51
312	珶	G8-7B54	GB/T 8565.2—1988，91—52
313	珺	G8-7B55	GB/T 8565.2—1988，91—53
314	琲	G8-7B56	GB/T 8565.2—1988，91—54
315	琯	G8-7B57	GB/T 8565.2—1988，91—55
316	瑄	G8-7B58	GB/T 8565.2—1988，91—56
317	瑂	G8-7B59	GB/T 8565.2—1988，91—57
318	瑱	G8-7B5A	GB/T 8565.2—1988，91—58
319	瑸	G8-7B5B	GB/T 8565.2—1988，91—59
320	瑢	G8-7B5C	GB/T 8565.2—1988，91—60
321	璆	G8-7B5D	GB/T 8565.2—1988，91—61
322	璟	G8-7B5E	GB/T 8565.2—1988，91—62
323	璠	G8-7B5F	GB/T 8565.2—1988，91—63
324	璘	G8-7B60	GB/T 8565.2—1988，91—64
325	璲	G8-7B61	GB/T 8565.2—1988，91—65
326	韨	G8-7B62	GB/T 8565.2—1988，91—66
327	杅	G8-7B63	GB/T 8565.2—1988，91—67
328	枟	G8-7B64	GB/T 8565.2—1988，91—68
329	杻	G8-7B65	GB/T 8565.2—1988，91—69
330	柈	G8-7B66	GB/T 8565.2—1988，91—70
331	柮	G8-7B67	GB/T 8565.2—1988，91—71
332	桋	G8-7B68	GB/T 8565.2—1988，91—72
333	梠	G8-7B69	GB/T 8565.2—1988，91—73
334	栒	G8-7B6A	GB/T 8565.2—1988，91—74
335	栟	G8-7B6B	GB/T 8565.2—1988，91—75
336	桪	G8-7B6C	GB/T 8565.2—1988，91—76
337	梼	G8-7B6D	GB/T 8565.2—1988，91—77
338	棻	G8-7B6E	GB/T 8565.2—1988，91—78
339	桯	G8-7B6F	GB/T 8565.2—1988，91—79
340	梱	G8-7B70	GB/T 8565.2—1988，91—80
341	棁	G8-7B71	GB/T 8565.2—1988，91—81
342	棫	G8-7B72	GB/T 8565.2—1988，91—82
343	椓	G8-7B73	GB/T 8565.2—1988，91—83
344	棑	G8-7B74	GB/T 8565.2—1988，91—84
345	椑	G8-7B75	GB/T 8565.2—1988，91—85
