48	可	65738	5852969	27.02571	65738	5852969	27.03395
49	出	64972	5917941	27.32572	64972	5917941	27.33404
50	能	63357	5981298	27.61826	63357	5981298	27.62668
51	方	63190	6044488	27.91004	63190	6044488	27.91855
52	进	62248	6106736	28.19747	62248	6106736	28.20606
53	同	62126	6168862	28.48433	62126	6168862	28.49301
54	行	62103	6230965	28.77108	62103	6230965	28.77985
55	面	60667	6291632	29.05121	60667	6291632	29.06007
56	说	58906	6350538	29.32321	58906	6350538	29.33214
57	种	57924	6408462	29.59067	57924	6408462	29.59968
58	过	57303	6465765	29.85526	57303	6465765	29.86436
59	命	56638	6522403	30.11678	56638	6522403	30.12596
60	度	56496	6578899	30.37765	56496	6578899	30.38691
61	革	55277	6634176	30.63289	55277	6634176	30.64222
62	而	54856	6689032	30.88618	54856	6689032	30.89559
63	多	54353	6743385	31.13715	54353	6743385	31.14664
64	子	54121	6797506	31.38705	54121	6797506	31.39662
65	后	53495	6851001	31.63406	53495	6851001	31.64370
66	自	52989	6903990	31.87873	52989	6903990	31.88845
67	社	52926	6956916	32.12312	52926	6956916	32.13291
68	加	52050	7008966	32.36345	52050	7008966	32.37332
69	小	51681	7060647	32.60209	51681	7060647	32.61203
70	机	51243	7111890	32.83870	51243	7111890	32.84871
71	也	50854	7162744	33.07351	50854	7162744	33.08360
72	经	49413	7212157	33.30168	49413	7212157	33.31183
73	力	49403	7261560	33.52979	49403	7261560	33.54001
74	线	49338	7310898	33.75761	49338	7310898	33.76790
75	本	49203	7360101	33.98480	49203	7360101	33.99516
76	电	48460	7408561	34.20856	48460	7408561	34.21899
77	高	48329	7456890	34.43172	48329	7456890	34.44221
78	量	48114	7505004	34.65388	48114	7505004	34.66444
79	长	47953	7552957	34.87530	47953	7552957	34.88593
80	党	47862	7600819	35.09630	47862	7600819	35.10700
81	得	47312	7648131	35.31476	47312	7648131	35.32552
82	实	47262	7695393	35.53299	47262	7695393	35.54382
83	家	47071	7742464	35.75034	47071	7742464	35.76123
84	定	46826	7789290	35.96655	46826	7789290	35.97751
85	深	46495	7835785	36.18124	46495	7835785	36.19227
86	法	45558	7881343	36.39160	45558	7881343	36.40269
87	表	45498	7926841	36.60168	45498	7926841	36.61284
88	着	44985	7971826	36.80940	44985	7971826	36.82062
89	水	44843	8016669	37.01646	44843	8016669	37.02774
90	理	44824	8061493	37.22343	44824	8061493	37.23478
91	化	44748	8106241	37.43005	44748	8106241	37.44146
92	争	44704	8150945	37.63647	44704	8150945	37.64794
93	现	44702	8195647	37.84288	44702	8195647	37.85441
94	所	44482	8240129	38.04827	44482	8240129	38.05987
95	二	44390	8284519	38.25324	44390	8284519	38.26490
96	起	44274	8328793	38.45767	44274	8328793	38.46939
97	政	44060	8372853	38.66112	44060	8372853	38.67290
98	三	43863	8416716	38.86365	43863	8416716	38.87550
99	好	43850	8460566	39.06613	43850	8460566	39.07803
100	十	43784	8504350	39.26830	43784	8504350	39.28026
101	战	43394	8547744	39.46866	43394	8547744	39.48069
102	无	43157	8590901	39.66794	43157	8590901	39.68003
103	农	43141	8634042	39.86714	43141	8634042	39.87929
104	使	42737	8676779	40.06448	42737	8676779	40.07669
105	性	42534	8719313	40.26087	42534	8719313	40.27314
106	前	41890	8761203	40.45430	41890	8761203	40.46663
107	等	41813	8803016	40.64737	41813	8803016	40.65976
108	反	41795	8844811	40.84035	41795	8844811	40.85280
