461	常	1	245	22491	
462	肠	3	1478	1434	
463	偿	3	2035	594	
464	尝	3	2177	474	
465	嫦	5	5582	2	
466	𭇉	5	5897	1	
467	场	1	359	14952	
468	厂	1	388	13666	
469	敞	4	2843	172	
470	唱	3	1401	1628	
471	倡	3	2021	608	
472	畅	3	2108	535	
473	怅	5	5664	2	
474	超	2	623	7040	
475	抄	3	2375	360	
476	钞	4	4052	25	
477	潮	2	1036	3078	
478	巢	3	1546	1266	
479	嘲	4	2579	265	
480	晁	4	3845	34	
481	吵	3	2201	455	
482	炒	4	2510	297	
483	耖	4	3483	58	
484	车	1	326	16524	
485	伡	5	5305	3	# 原文作“俥”，因“伡”与“俥”均不在2312，取简化字“伡”。
486	砗	5	5362	3	
487	扯	3	2248	423	
488	彻	2	727	5741	
489	撤	3	1968	658	
490	澈	5	4346	16	
491	掣	5	5084	7	
492	坼	5	5574	2	
493	琛	4	4151	21	
494	郴	5	4673	10	
495	抻	5	4835	7	
496	嗔	5	4840	8	
497	陈	2	847	4523	
498	沉	2	1058	2948	
499	尘	3	1721	946	
500	臣	3	1806	835	
501	晨	3	1983	648	
502	忱	4	3030	124	
503	辰	4	3219	91	
504	𠱸	5	4605	10	
505	梣	5	4775	9	
506	茞	5	5592	2	
507	谌	5	5706	2	
508	碜	5	4795	8	
509	衬	3	2050	584	
510	趁	3	2344	376	
511	谶	4	3495	57	
512	称	1	549	8707	
513	撑	3	1931	691	
514	⿰赤页	5	4893	7	
515	柽	5	4952	7	
516	蛏	5	6316	1	
517	成	1	45	67836	
518	程	1	277	19227	
519	承	2	599	7516	
520	城	2	750	5451	
521	呈	2	1054	2956	
522	乘	3	1407	1615	
523	诚	3	1766	877	
524	惩	4	2405	341	
525	橙	4	2625	245	
526	澄	4	2928	156	
527	丞	4	3968	44	
528	澂	5	4252	18	
529	塍	5	5691	2	
530	⿰呈瓦	5	5819	1	
531	筬	5	6276	1	
532	⿰虫乘	5	6324	1	
533	逞	4	2781	190	
534	骋	4	4745	32	# 按附录三，升为4级，原多计1次，并少〈 新闻〉24次。
535	秤	4	2946	147	
536	吃	2	801	4989	# 按附录三，原少〈政治〉重见78次（但也可能是形误）。
537	痴	4	3300	78	
538	哧	4	3365	74	
539	嗤	4	3712	52	
540	眵	5	4643	10	
541	笞	5	4650	10	
542	蚩	5	4877	7	
543	螭	5	5736	2	
544	鸱	5	5753	2	
545	魑	5	6346	1	
546	持	1	266	19972	
547	池	2	1041	3039	
548	迟	3	1495	1399	
549	驰	4	2471	311	
550	匙	4	3082	113	
551	弛	4	3366	72	
552	篪	5	4988	6	
